"","participant","group","lag","det_target","det_trial","explained_variance_target","explained_variance_trial","log_exp_var_target","log_exp_var_trial","var_diff","det_diff"
"215","212","Random","3back",0.950960311043693,0.985084850317163,0.0490396889563074,0.0149151496828366,0.0478751637378109,0.0148050126277897,0.0330701511100213,0.0330701511100213
"216","212","Random","4back",0.923744153878667,0.971964097468944,0.0762558461213325,0.0280359025310556,0.0734882086812481,0.0276500910642271,0.045838117617021,0.045838117617021
"217","213","Blocked","1back",0.992181385093426,0.989425419786255,0.00781861490657432,0.0105745802137452,0.0077882079278456,0.0105190603965951,-0.00273085246874952,-0.00273085246874952
"218","213","Blocked","2back",0.964934551965661,0.97424663027475,0.0350654480343392,0.0257533697252497,0.0344646595338825,0.0254273374678354,0.00903732206604707,0.00903732206604707
"219","213","Blocked","3back",0.940398018161397,0.958815167323724,0.0596019818386033,0.0411848326762763,0.0578933487788863,0.0403593268753101,0.0175340219035761,0.0175340219035761
"220","213","Blocked","4back",0.906573575889934,0.934920825197163,0.0934264241100656,0.0650791748028368,0.0893162741065067,0.0630491389359938,0.0262671351705129,0.0262671351705129
"221","214","Random","1back",0.982748764860263,0.995958927655844,0.0172512351397374,0.0040410723441564,0.0171041220938009,0.00403292914211815,0.0130711929516828,0.0130711929516828
"222","214","Random","2back",0.980541351377948,0.988969624277125,0.019458648622052,0.0110303757228751,0.0192717497605868,0.0109699848123814,0.00830176494820538,0.00830176494820538
"223","214","Random","3back",0.979775506107053,0.967192679314591,0.0202244938929467,0.0328073206854086,0.0200226951313859,0.0322806487178629,-0.012257953586477,-0.012257953586477
"224","214","Random","4back",0.945029966371966,0.898059869393713,0.0549700336280339,0.101940130606287,0.0535123623805808,0.0970723813114282,-0.0435600189308474,-0.0435600189308474
"225","215","Blocked","1back",0.984643909792949,0.980560630841313,0.0153560902070514,0.0194393691586874,0.0152393787582693,0.0192528381100804,-0.00401345935181104,-0.00401345935181104
"226","215","Blocked","2back",0.982491735057326,0.969846433968823,0.0175082649426737,0.0301535660311768,0.0173567610954058,0.0297078843624051,-0.0123511232669994,-0.0123511232669994
"227","215","Blocked","3back",0.961336728572275,0.953050641302564,0.0386632714277253,0.0469493586974359,0.037934570491396,0.0458805627123606,-0.00794599222096459,-0.00794599222096459
"228","215","Blocked","4back",0.933293033916558,0.935849561277672,0.0667069660834423,0.064150438722328,0.0645763011271255,0.0621767707014843,0.00239953042564126,0.00239953042564126
"229","216","Random","1back",0.995002479001415,0.999560241701995,0.00499752099858453,0.000439758298004689,0.00498507483992186,0.000439661632662909,0.00454541320725895,0.00454541320725895
"230","216","Random","2back",0.990810675902326,0.998866384235838,0.00918932409767426,0.00113361576416249,0.00914735914941665,0.00113297370699716,0.00801438544241949,0.00801438544241949
"231","216","Random","3back",0.980102281928306,0.997097092764661,0.019897718071694,0.00290290723533915,0.0197023458678653,0.00289870193655967,0.0168036439313056,0.0168036439313056
"232","216","Random","4back",0.967270375340952,0.984225608285201,0.0327296246590479,0.0157743917147992,0.0322054178907674,0.0156512690995201,0.0165541487912473,0.0165541487912473
"233","217","Blocked","1back",0.985059409432573,0.98688533459074,0.0149405905674266,0.0131146654092595,0.0148300793200545,0.0130294127493079,0.00180066657074664,0.00180066657074664
"234","217","Blocked","2back",0.937197179414124,0.95016478980244,0.0628028205858757,0.0498352101975603,0.0609095888197172,0.0486332091836525,0.0122763796360648,0.0122763796360648
"235","217","Blocked","3back",0.880995813173438,0.908918825572657,0.119004186826562,0.091081174427343,0.112439170901486,0.0871691077745399,0.0252700631269458,0.0252700631269458
"236","217","Blocked","4back",0.822891571484076,0.862855750294308,0.177108428515924,0.137144249705692,0.16306094681838,0.128520075415786,0.0345408714025934,0.0345408714025934
"237","218","Random","1back",0.999952423220877,0.998601308059475,4.75767791234816e-05,0.00139869194052522,4.75756473844219e-05,0.0013977146821026,-0.00135013903471818,-0.00135013903471818
"238","218","Random","2back",0.999023842177342,0.995140097132008,0.000976157822657919,0.00485990286799165,0.000975681690438819,0.00484813166258612,-0.0038724499721473,-0.0038724499721473
"239","218","Random","3back",0.996616942896029,0.990660877354736,0.00338305710397113,0.0093391226452636,0.00337734744007566,0.00929578266864527,-0.00591843522856961,-0.00591843522856961
"240","218","Random","4back",0.965935139913605,0.983751433931991,0.0340648600863948,0.016248566068009,0.0334975014752403,0.0161179708756986,0.0173795305995417,0.0173795305995417
"241","219","Blocked","1back",0.976279044138973,0.976065315505663,0.0237209558610267,0.0239346844943371,0.0234439854393769,0.0236527399094883,-0.000208754470111434,-0.000208754470111434
"242","219","Blocked","2back",0.949284415193069,0.950303513138733,0.0507155848069311,0.0496964868612675,0.0494714413873325,0.0485010622513732,0.000970379135959293,0.000970379135959293
"243","219","Blocked","3back",0.906491832944795,0.908100057028729,0.0935081670552048,0.091899942971271,0.0893910298358342,0.0879192458089885,0.00147178402684568,0.00147178402684568
"244","219","Blocked","4back",0.854889930717168,0.859787198767446,0.145110069282832,0.140212801232554,0.135500762763994,0.131214912734002,0.00428585002999132,0.00428585002999132
"245","220","Random","1back",0.987690530215561,0.992423364821434,0.0123094697844394,0.00757663517856644,0.0122343243001805,0.00754807663929509,0.00468624766088541,0.00468624766088541
"246","220","Random","2back",0.975723251987656,0.978775704425583,0.0242767480123436,0.0212242955744172,0.0239867518339975,0.0210021973031424,0.00298455453085516,0.00298455453085516
"247","220","Random","3back",0.963538916331552,0.963772586870318,0.0364610836684482,0.0362274131296816,0.0358121062828487,0.0355866304912692,0.000225475791579492,0.000225475791579492
"248","220","Random","4back",0.949431665228427,0.941269292702326,0.0505683347715729,0.0587307072976737,0.0493312889460299,0.0570707446671442,-0.00773945572111422,-0.00773945572111422
"249","221","Blocked","1back",0.976875142930986,0.975115784586932,0.0231248570690136,0.0248842154130681,0.0228615294428383,0.0245796456372289,-0.00171811619439059,-0.00171811619439059
"250","221","Blocked","2back",0.941007947292835,0.938373585025686,0.0589920527071651,0.0616264149743144,0.0573175620652984,0.0598020859553107,-0.0024845238900123,-0.0024845238900123
"251","221","Blocked","3back",0.903550582649085,0.90023839293479,0.0964494173509146,0.0997616070652098,0.0920771568048203,0.0950934354671586,-0.00301627866233826,-0.00301627866233826
