"","participant","group","label","det","phase_space","lag"
"342","201","Blocked","det_2back_trial",0.992108630535444,"trial","2back"
"343","201","Blocked","det_3back_trial",0.985383145632572,"trial","3back"
"344","201","Blocked","det_4back_trial",0.978769729785688,"trial","4back"
"345","202","Random","det_1back_target",0.98452953433748,"target","1back"
"346","202","Random","det_2back_target",0.955310978502188,"target","2back"
"347","202","Random","det_3back_target",0.92846827800909,"target","3back"
"348","202","Random","det_4back_target",0.907446412830777,"target","4back"
"349","202","Random","det_1back_trial",0.996412630996053,"trial","1back"
"350","202","Random","det_2back_trial",0.991946739140061,"trial","2back"
"351","202","Random","det_3back_trial",0.98663566569895,"trial","3back"
"352","202","Random","det_4back_trial",0.96079505531723,"trial","4back"
"353","203","Blocked","det_1back_target",0.96049114449174,"target","1back"
"354","203","Blocked","det_2back_target",0.93204039104708,"target","2back"
"355","203","Blocked","det_3back_target",0.907871623318474,"target","3back"
"356","203","Blocked","det_4back_target",0.88535726307263,"target","4back"
"357","203","Blocked","det_1back_trial",0.96240372385184,"trial","1back"
"358","203","Blocked","det_2back_trial",0.936125814329453,"trial","2back"
"359","203","Blocked","det_3back_trial",0.914519274358852,"trial","3back"
"360","203","Blocked","det_4back_trial",0.895569868715958,"trial","4back"
"361","204","Random","det_1back_target",0.992090729229891,"target","1back"
"362","204","Random","det_2back_target",0.979878461713652,"target","2back"
"363","204","Random","det_3back_target",0.963958317125348,"target","3back"
"364","204","Random","det_4back_target",0.948761540907884,"target","4back"
"365","204","Random","det_1back_trial",0.975277743575105,"trial","1back"
"366","204","Random","det_2back_trial",0.945976922773983,"trial","2back"
"367","204","Random","det_3back_trial",0.91512293676356,"trial","3back"
"368","204","Random","det_4back_trial",0.872397182207275,"trial","4back"
"369","205","Blocked","det_1back_target",0.994831789512368,"target","1back"
"370","205","Blocked","det_2back_target",0.971320743162965,"target","2back"
"371","205","Blocked","det_3back_target",0.943774879754242,"target","3back"
"372","205","Blocked","det_4back_target",0.916748445926214,"target","4back"
"373","205","Blocked","det_1back_trial",0.99753801893885,"trial","1back"
"374","205","Blocked","det_2back_trial",0.97682361370601,"trial","2back"
"375","205","Blocked","det_3back_trial",0.950598091889383,"trial","3back"
"376","205","Blocked","det_4back_trial",0.921996328740437,"trial","4back"
"377","206","Random","det_1back_target",0.993705129399614,"target","1back"
"378","206","Random","det_2back_target",0.982536918039529,"target","2back"
"379","206","Random","det_3back_target",0.967845114200789,"target","3back"
"380","206","Random","det_4back_target",0.953991771396701,"target","4back"
"381","206","Random","det_1back_trial",0.998690396810093,"trial","1back"
"382","206","Random","det_2back_trial",0.994194339003883,"trial","2back"
"383","206","Random","det_3back_trial",0.983934324139924,"trial","3back"
